payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,location,transtype,comment,card_reference,reasoncode,sepaprovider,invoice_hash,payment_hash,memo,stripe_currency,stripe_converted_amount,is_aed
14/10/2025,37106,37106-DDI00104,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,229.87,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD7G2KGGMYYH1PN96,2.0,2.0,ch_3SIAivIdctIUMwHT2dfsGaoo,nan,nan,,eur,229.87,False
14/10/2025,38017,38017-DDI00088,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,160.15,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD57ESH7PNN2AN6W4,2.0,2.0,ch_3SIAiyIdctIUMwHT2Fbp0DPn,nan,nan,,eur,160.15,False
14/10/2025,38361,38361-DDI00082,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,121.77,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD0XBA15S23N6EVAU,2.0,2.0,ch_3SIAj3IdctIUMwHT2h1xzRCF,nan,nan,,eur,121.77,False
14/10/2025,39140,39140-DDI00062,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,216.75,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDAH2ZJYQR4FQ5CPU,2.0,2.0,ch_3SIAj5IdctIUMwHT2F361oxv,nan,nan,,eur,216.75,False
14/10/2025,39295,39295-DDI00095,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,183.27,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDOUW528W22C06N73,2.0,2.0,ch_3SIAj7IdctIUMwHT0Lblbmry,nan,nan,,eur,183.27,False
14/10/2025,39345,39345-DDI00095,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,318.57,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDM4ZK4KRNYSHMKY2,2.0,2.0,ch_3SIAjAIdctIUMwHT1ddzlbVF,nan,nan,,eur,318.57,False
14/10/2025,41027,41027-DDI00079,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,113.91,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDOSO4OQ6OQH63S3Y,2.0,2.0,ch_3SIAjCIdctIUMwHT2uU1VFRX,nan,nan,,eur,113.91,False
14/10/2025,41355,41355-DDI00089,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,239.25,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD772G66Y3X0E7214,2.0,2.0,ch_3SIAjEIdctIUMwHT1cFqTTdS,nan,nan,,eur,239.25,False
14/10/2025,41379,41379-DDI00089,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,183.27,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD9X24KR6O022Z45C,2.0,2.0,ch_3SIAjHIdctIUMwHT0M2egsCq,nan,nan,,eur,183.27,False
14/10/2025,41407,41407-DDI00088,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,244.77,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD677O1KL8J1KK6NK,2.0,2.0,ch_3SIAjJIdctIUMwHT2LG5she9,nan,nan,,eur,244.77,False
14/10/2025,41418,41418-DDI00088,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,190.9,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDVA65J6Y9NX5LDRA,2.0,2.0,ch_3SIAjLIdctIUMwHT098brZ3f,nan,nan,,eur,190.9,False
14/10/2025,41647,41647-DDI00044,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,183.27,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDGJDJS7S8753C8NB,2.0,2.0,ch_3SIAjOIdctIUMwHT0IhxtKS9,nan,nan,,eur,183.27,False
14/10/2025,41700,41700-DDI00080,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,131.02,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD3368XB39U4714X0,2.0,2.0,ch_3SIAjQIdctIUMwHT1YCjoPiB,nan,nan,,eur,131.02,False
14/10/2025,41797,41797-DDI00060,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,201.42,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDZK5OXK761520521,2.0,2.0,ch_3SIAjSIdctIUMwHT2uFrCPsf,nan,nan,,eur,201.42,False
14/10/2025,41970,41970-DDI00082,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,210.7,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD820Y5W41L2J8177,2.0,2.0,ch_3SIAjVIdctIUMwHT2NYXcBmg,nan,nan,,eur,210.7,False
14/10/2025,42054,42054-DDI00084,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,236.92,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDX45R00326AL31RH,2.0,2.0,ch_3SIAjXIdctIUMwHT2HRdeY1Q,nan,nan,,eur,236.92,False
14/10/2025,42866,42866-DDI00076,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,241.07,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD66JU9L52331663U,2.0,2.0,ch_3SIAjgIdctIUMwHT0Wo12lVR,nan,nan,,eur,241.07,False
14/10/2025,43001,43001-DDI00085,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,230.93,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD659823ASZ9DJWDD,2.0,2.0,ch_3SIAjiIdctIUMwHT2S6JiaRj,nan,nan,,eur,230.93,False
14/10/2025,43034,43034-DDI00082,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,212.54,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDJEXO2NBP3RIL9ED,2.0,2.0,ch_3SIAjlIdctIUMwHT1gy5Y3AF,nan,nan,,eur,212.54,False
