payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
01/10/2025,8699,8699-DDI00219,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,98.26,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SDPt4IdctIUMwHT0pl3Nbsm,CPMT: 8699-DDI00219,CPMT: 8699-DDI00219-01/10/2025,
03/10/2025,83414,83414-DDI00004,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,118.8,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SE35wIdctIUMwHT2KDo0aqn,CPMT: 83414-DDI00004,CPMT: 83414-DDI00004-03/10/2025,
06/10/2025,9527,9527-DDI00190,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,112.37,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SFBjLIdctIUMwHT15EeYDTt,CPMT: 9527-DDI00190,CPMT: 9527-DDI00190-06/10/2025,
07/10/2025,29805,29805-DDI00137,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,415.48,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,nan,CPMT: 29805-DDI00137,CPMT: 29805-DDI00137-07/10/2025,
07/10/2025,9482,9482-DDI00183,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,69.47,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SFZA0IdctIUMwHT0A68fEX5,CPMT: 9482-DDI00183,CPMT: 9482-DDI00183-07/10/2025,
07/10/2025,87987,87987-DDI00002,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,119.0,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SFUjqIdctIUMwHT2QdOB9ce,CPMT: 87987-DDI00002,CPMT: 87987-DDI00002-07/10/2025,
09/10/2025,59408,59408-DDI00030,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,237.72,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SGKfsIdctIUMwHT1aysyP11,CPMT: 59408-DDI00030,CPMT: 59408-DDI00030-09/10/2025,
10/10/2025,16224,16224-DDI00125,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,311.84,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,nan,CPMT: 16224-DDI00125,CPMT: 16224-DDI00125-10/10/2025,
10/10/2025,13202,13202-TBN00147,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,138.43,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT,2.0,,nan,CPMT: 13202-TBN00147,CPMT: 13202-TBN00147-10/10/2025,
10/10/2025,30353,30353-TBN00113,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,280.56,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT,2.0,,nan,CPMT: 30353-TBN00113,CPMT: 30353-TBN00113-10/10/2025,
