payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
02/10/2025,62177,62177-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,370.64,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,2.0,,ch_3SDb7MGNUfzD46Hm0z5ocdWx,CPMT: 62177-POA,CPMT: 62177-POA-02/10/2025,
14/10/2025,78368,78368-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,792.01,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SI96VGNUfzD46Hm1g2mpUfw,CPMT: 78368-POA,CPMT: 78368-POA-14/10/2025,
14/10/2025,40744,40744-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,199.36,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SICo2GNUfzD46Hm1wCXJCzb,CPMT: 40744-POA,CPMT: 40744-POA-14/10/2025,
15/10/2025,54664,54664-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,690.49,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SIYXXGNUfzD46Hm0ZqQs9x8,CPMT: 54664-POA,CPMT: 54664-POA-15/10/2025,
16/10/2025,33019,33019-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,368.48,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SIzJ4GNUfzD46Hm0Wat5ozV,CPMT: 33019-POA,CPMT: 33019-POA-16/10/2025,
16/10/2025,40743,40743-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,207.37,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SItDCGNUfzD46Hm1umTMdfz,CPMT: 40743-POA,CPMT: 40743-POA-16/10/2025,
16/10/2025,32788,32788-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,682.08,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SItvRGNUfzD46Hm0XMZOye4,CPMT: 32788-POA,CPMT: 32788-POA-16/10/2025,
16/10/2025,32672,32672-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,371.77,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SIvJeGNUfzD46Hm1IvgL7lN,CPMT: 32672-POA,CPMT: 32672-POA-16/10/2025,
21/09/2025,82343,82343-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,256.48,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,,2.0,nan,CPMT: 82343-POA,CPMT: 82343-POA-21/09/2025,
21/09/2025,77738,77738-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,263.29,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,,2.0,nan,CPMT: 77738-POA,CPMT: 77738-POA-21/09/2025,
